Experiment,Split,lambda,alpha,NormalizedDCGEvaluator,PStatisticalParityEvaluator,ndcg_metric.py,psp.py
exp00000,0,0.0,0.0,0.03233200884080266,-0.6296389167502896,0.03403785964187015,-0.6280622489959837
exp00000,1,0.0,0.0,0.0336842303792194,-0.6280622489960223,0.03156885836465223,-0.6283638185918315
exp00000,2,0.0,0.0,0.0313573048703352,-0.6283638185918705,0.032450196058957825,-0.6296389167502506
exp00001,0,0.2,0.0,0.03516456692211329,-0.7152357071214025,0.033830227058010615,-0.6234437751004015
exp00001,1,0.2,0.0,0.0369104638458203,-0.7143674698795568,0.03169820996112592,-0.6259082936607366
exp00001,2,0.2,0.0,0.03681120343097174,-0.7188774743172559,0.03160616080680692,-0.6279839518555667
exp00002,0,0.4,0.0,0.03461141935792415,-0.7268906720160957,0.03359686397712085,-0.6083333333333332
exp00002,1,0.4,0.0,0.036132869955568137,-0.7331224899598914,0.03099335173842801,-0.6700576296667503
exp00002,2,0.4,0.0,0.035614788857135614,-0.7387421698822909,0.03124456773295283,-0.6133901705115345
exp00003,0,0.6,0.0,0.03325199037616549,-0.7490972918756779,0.032768995390339374,-0.6711847389558233
exp00003,1,0.6,0.0,0.0355450664826175,-0.7443072289157174,0.028596972844329348,-0.6810323227261338
exp00003,2,0.6,0.0,0.032902240676127945,-0.7554798296166917,0.030267381329416154,-0.6620361083249748
exp00004,0,0.8,0.0,0.03244754261792929,-0.7568104312939354,0.032223163112526196,-0.6806224899598394
exp00004,1,0.8,0.0,0.03474864247400503,-0.7568875502008575,0.028256206476499596,-0.6841894262089703
exp00004,2,0.8,0.0,0.032298248956614456,-0.7586770233024842,0.02958523783962783,-0.6711133400200603
exp00005,0,0.0,0.2,0.03588228932847757,-0.7153259779338399,0.03403785964187015,-0.6280622489959837
exp00005,1,0.0,0.2,0.03711140753947615,-0.7147389558233319,0.03156885836465223,-0.6283638185918315
exp00005,2,0.0,0.2,0.03662600954945364,-0.7153395139063283,0.032450196058957825,-0.6296389167502506
exp00006,0,0.2,0.2,0.03516456692211329,-0.7152357071214025,0.033830227058010615,-0.6234437751004015
exp00006,1,0.2,0.2,0.0369104638458203,-0.7143674698795568,0.03169820996112592,-0.6259082936607366
exp00006,2,0.2,0.2,0.03681120343097174,-0.7188774743172559,0.03160616080680692,-0.6279839518555667
exp00007,0,0.4,0.2,0.03461141935792415,-0.7268906720160957,0.03359686397712085,-0.6083333333333332
exp00007,1,0.4,0.2,0.036132869955568137,-0.7331224899598914,0.03099335173842801,-0.6700576296667503
exp00007,2,0.4,0.2,0.035614788857135614,-0.7387421698822909,0.03124456773295283,-0.6133901705115345
exp00008,0,0.6,0.2,0.03325199037616549,-0.7490972918756779,0.032768995390339374,-0.6711847389558233
exp00008,1,0.6,0.2,0.0355450664826175,-0.7443072289157174,0.028596972844329348,-0.6810323227261338
exp00008,2,0.6,0.2,0.032902240676127945,-0.7554798296166917,0.030267381329416154,-0.6620361083249748
exp00009,0,0.8,0.2,0.03244754261792929,-0.7568104312939354,0.032223163112526196,-0.6806224899598394
exp00009,1,0.8,0.2,0.03474864247400503,-0.7568875502008575,0.028256206476499596,-0.6841894262089703
exp00009,2,0.8,0.2,0.032298248956614456,-0.7586770233024842,0.02958523783962783,-0.6711133400200603
exp00010,0,0.0,0.4,0.03588228932847757,-0.7153259779338399,0.03403785964187015,-0.6280622489959837
exp00010,1,0.0,0.4,0.03711140753947615,-0.7147389558233319,0.03156885836465223,-0.6283638185918315
exp00010,2,0.0,0.4,0.03662600954945364,-0.7153395139063283,0.032450196058957825,-0.6296389167502506
exp00011,0,0.2,0.4,0.03516456692211329,-0.7152357071214025,0.033830227058010615,-0.6234437751004015
exp00011,1,0.2,0.4,0.0369104638458203,-0.7143674698795568,0.03169820996112592,-0.6259082936607366
exp00011,2,0.2,0.4,0.03681120343097174,-0.7188774743172559,0.03160616080680692,-0.6279839518555667
exp00012,0,0.4,0.4,0.03461141935792415,-0.7268906720160957,0.03359686397712085,-0.6083333333333332
exp00012,1,0.4,0.4,0.036132869955568137,-0.7331224899598914,0.03099335173842801,-0.6700576296667503
exp00012,2,0.4,0.4,0.035614788857135614,-0.7387421698822909,0.03124456773295283,-0.6133901705115345
exp00013,0,0.6,0.4,0.03325199037616549,-0.7490972918756779,0.032768995390339374,-0.6711847389558233
exp00013,1,0.6,0.4,0.0355450664826175,-0.7443072289157174,0.028596972844329348,-0.6810323227261338
exp00013,2,0.6,0.4,0.032902240676127945,-0.7554798296166917,0.030267381329416154,-0.6620361083249748
exp00014,0,0.8,0.4,0.03244754261792929,-0.7568104312939354,0.032223163112526196,-0.6806224899598394
exp00014,1,0.8,0.4,0.03474864247400503,-0.7568875502008575,0.028256206476499596,-0.6841894262089703
exp00014,2,0.8,0.4,0.032298248956614456,-0.7586770233024842,0.02958523783962783,-0.6711133400200603
exp00015,0,0.0,0.6,0.03588228932847757,-0.7153259779338399,0.03403785964187015,-0.6280622489959837
exp00015,1,0.0,0.6,0.03711140753947615,-0.7147389558233319,0.03156885836465223,-0.6283638185918315
exp00015,2,0.0,0.6,0.03662600954945364,-0.7153395139063283,0.032450196058957825,-0.6296389167502506
exp00016,0,0.2,0.6,0.03516456692211329,-0.7152357071214025,0.033830227058010615,-0.6234437751004015
exp00016,1,0.2,0.6,0.0369104638458203,-0.7143674698795568,0.03169820996112592,-0.6259082936607366
exp00016,2,0.2,0.6,0.03681120343097174,-0.7188774743172559,0.03160616080680692,-0.6279839518555667
exp00017,0,0.4,0.6,0.03461141935792415,-0.7268906720160957,0.03359686397712085,-0.6083333333333332
exp00017,1,0.4,0.6,0.036132869955568137,-0.7331224899598914,0.03099335173842801,-0.6700576296667503
exp00017,2,0.4,0.6,0.035614788857135614,-0.7387421698822909,0.03124456773295283,-0.6133901705115345
exp00018,0,0.6,0.6,0.03325199037616549,-0.7490972918756779,0.032768995390339374,-0.6711847389558233
exp00018,1,0.6,0.6,0.0355450664826175,-0.7443072289157174,0.028596972844329348,-0.6810323227261338
exp00018,2,0.6,0.6,0.032902240676127945,-0.7554798296166917,0.030267381329416154,-0.6620361083249748
exp00019,0,0.8,0.6,0.03244754261792929,-0.7568104312939354,0.032223163112526196,-0.6806224899598394
exp00019,1,0.8,0.6,0.03474864247400503,-0.7568875502008575,0.028256206476499596,-0.6841894262089703
exp00019,2,0.8,0.6,0.032298248956614456,-0.7586770233024842,0.02958523783962783,-0.6711133400200603
exp00020,0,0.0,0.8,0.03588228932847757,-0.7153259779338399,0.03403785964187015,-0.6280622489959837
exp00020,1,0.0,0.8,0.03711140753947615,-0.7147389558233319,0.03156885836465223,-0.6283638185918315
exp00020,2,0.0,0.8,0.03662600954945364,-0.7153395139063283,0.032450196058957825,-0.6296389167502506
exp00021,0,0.2,0.8,0.03516456692211329,-0.7152357071214025,0.033830227058010615,-0.6234437751004015
exp00021,1,0.2,0.8,0.0369104638458203,-0.7143674698795568,0.03169820996112592,-0.6259082936607366
exp00021,2,0.2,0.8,0.03681120343097174,-0.7188774743172559,0.03160616080680692,-0.6279839518555667
exp00022,0,0.4,0.8,0.03461141935792415,-0.7268906720160957,0.03359686397712085,-0.6083333333333332
exp00022,1,0.4,0.8,0.036132869955568137,-0.7331224899598914,0.03099335173842801,-0.6700576296667503
exp00022,2,0.4,0.8,0.035614788857135614,-0.7387421698822909,0.03124456773295283,-0.6133901705115345
exp00023,0,0.6,0.8,0.03325199037616549,-0.7490972918756779,0.032768995390339374,-0.6711847389558233
exp00023,1,0.6,0.8,0.0355450664826175,-0.7443072289157174,0.028596972844329348,-0.6810323227261338
exp00023,2,0.6,0.8,0.032902240676127945,-0.7554798296166917,0.030267381329416154,-0.6620361083249748
exp00024,0,0.8,0.8,0.03244754261792929,-0.7568104312939354,0.032223163112526196,-0.6806224899598394
exp00024,1,0.8,0.8,0.03474864247400503,-0.7568875502008575,0.028256206476499596,-0.6841894262089703
exp00024,2,0.8,0.8,0.032298248956614456,-0.7586770233024842,0.02958523783962783,-0.6711133400200603
